GR,etiqueta,Pozo
73.2569 73.8717 71.9386 72.6813 70.7089 70.7322 70.0374 69.4265 69.6637 70.089 58.1204 53.5594 57.8687 54.0082 53.4084 52.6126 56.8224 56.9326 53.7569 52.7279 55.899 59.027 67.6192 68.2914 68.8179 64.4665 66.0833 63.4376 61.994 62.8635 57.6632 59.8344 57.1707 59.7616 61.1674 61.3976 60.703 61.2084 69.0811 63.9278 64.1184 72.6091 77.8711 75.4526 78.2991 75.6908 77.9027 77.7011 78.485 76.4689 70.3866 71.2819 68.302 65.6759 58.7614 58.3517 61.3871 57.3582 63.5976 62.7367 59.9158 62.6326 60.155 58.5256 58.2679 57.9775 57.809 59.0819 59.7083 62.6046 62.8445 62.7462 63.9387 67.2116 71.8701 70.6248 68.7092 71.7857 66.1306 66.9144 67.3911 67.8059 64.3105 65.8958 62.2673 62.2412 64.5278 64.9754 65.6358 61.832 61.9111 56.0335 61.0778 53.0065 58.8653 53.5141 60.5219 60.7694 58.7868 59.4605 56.3194 55.6434 62.9832 65.394 64.0999 63.072 61.4732 61.0485 60.2334 60.1833 57.9487 60.4767 56.6965 52.0661 60.1046 58.3235 63.9236 63.2505 60.7268 59.6284 53.1502 51.2903 50.8399 50.9699 52.5382 54.995 57.5402 58.7944 54.6937 58.0222 55.9972 53.8878 53.8889 60.364 55.4078 60.8651 56.4424 57.644 57.211 56.8419 58.3641 57.9079 56.2025 55.6069 53.8715 53.5364 53.0117 52.7998 53.2772 53.9453 56.9077 55.2387 55.8598 53.5865 55.8733 50.0322 52.8043 50.5833 49.7265 50.0083 49.5412 49.669 53.5809 52.0442 54.1327 54.4055 55.1222 54.2821 49.5643 49.5107 50.9298 51.9701 53.0403 53.6163 51.4376 54.0484 53.3096 52.0558 51.2567 57.874 53.6451 55.9948 56.6304 53.0232 53.8817 51.9312 50.7008 51.3693 53.658 55.6124 58.959 59.3044 59.106 57.7151 57.9605 57.4349 59.535 54.7019 56.7258 53.4427 54.1819 52.3676 53.4004 52.8107 52.2317 53.8688 55.8012 56.2001 56.4085 56.3479 56.0606 56.6976 57.2155 56.4088 55.8253 54.7009 53.3423 55.7148 54.9768 57.9591 55.7698 60.6218 60.5592 54.044 56.309 52.5241 57.6884 56.8616 56.6628 57.2504 57.9983 58.3004 56.6821 56.2209 58.5436 58.4329 59.8315 58.7184 57.4599 59.848 53.3623 53.9381 52.3478 52.6087 52.7893 53.7184 56.7257 55.9233 54.8214 53.7676 52.3799 51.4924 50.7685 53.4621 49.9353 50.7718 56.7937 55.13 56.1171 56.6575 61.2838 57.151 59.8224 63.9142 63.1813 64.999 64.6314 65.559 66.0936 66.8302 67.2815 64.7195 63.5234 59.0027 58.5282 57.3051 57.1515 57.098 56.5171 57.3719 58.0721 56.3296 62.014 59.1064 61.2094 62.6273 62.3812 65.8179 64.916 67.7677 67.9964 69.4893 70.7493 76.1307 77.8827 80.6855 79.6649 78.6584 74.3506 72.9185 68.0812 69.9074 69.3607 55.3228 66.3866 47.8598 52.4602 45.3124 46.8753 42.0064 42.7875 41.6095 40.9277 57.3153 52.2964 65.2342 67.7325 67.9119 67.3903 67.1619 68.1869 68.3994 66.8888 67.6713 70.7317 70.1247 67.4349 66.9608 70.3451 67.9716 70.5266 71.2296 70.8251 70.2638 69.7216 76.9554 76.3724 71.4999 73.229 68.6492 67.1399 66.6971 65.9314 65.7696 69.214 69.7 69.2883 66.7063 66.9669 68.6902 69.2425 69.8625 70.1467 70.1744 71.4506 69.5798 74.2689 72.1164 74.8742 74.235 73.8976 74.9534 67.8111 68.8107 64.1588 65.5363 59.5032 57.728 57.3025 58.445 58.9302 61.6022 62.3332 62.373 61.6267 60.0126 59.8633 63.0428 63.1348 62.1276 60.6572 63.3308 62.8002 63.9172 63.0231 66.6584 64.6818 66.2569 66.6828 66.7592 66.7518 65.6627 69.6307 69.9362 70.4092 70.5127 69.3604 68.6701 63.9382 62.1772 63.8706 72.0576 73.2989 71.9596 71.3194 77.4735 73.4434 75.7924 71.2413 76.4414 69.9133 70.1454 74.2644 70.7943 79.5604 75.7704 78.599 72.385 73.7691 72.5644 72.4764 71.7722 72.9979 74.0754 75.2083 74.2198 71.3394 71.1402 71.5085 72.0357 73.4192 72.9961 68.3493 67.9116 70.1676 70.01 76.5234 71.7161 73.0413 76.0974 72.8384 80.346 80.1571 79.8322 80.1151 79.3718 79.6869 79.1541 77.9693 77.9621 79.5487 80.1481 81.9916 82.4466 91.9027 87.2587 94.658 93.2046 93.0378 94.838 88.6831 91.6809 89.3362 92.0161 91.0348 88.8969 90.4029 86.4103 90.7939 92.1846 95.9441 96.5391 97.2778 96.9671 96.9609 97.9189 101.2513 100.2193 100.6521 102.5251 102.9225 107.3809 99.1973 104.8673 95.0186 98.0073 90.7166 93.4852 91.3544 108.239 105.1374 117.8648 126.2052 138.3425 142.3779 152.7579 158.9795 160.3339 164.6959 169.0474 186.2713 189.0325 185.8487 191.4226 188.0433 186.5575 147.5143 144.8757 180.3396 177.7343 172.3421 148.9353 141.6496 128.3411 126.5703 107.0211 103.7665 96.7552 97.9467 95.7136 93.2247 82.3714 88.5653 87.3047 75.5487 79.9411 71.2034 74.6788 62.4185 68.7183 63.4572 62.5717 60.061 60.2098 72.8391 70.1563 64.8717 67.675 66.4078 64.9009 69.9578 73.75 74.4105 73.3699,0,NO 6507/7-A-38
72.5742 73.8022 74.8101 75.662 75.9543 74.5503 71.2645 59.5719 54.9341 35.5617 42.2267 31.7773 33.5352 34.7901 39.7913 36.3543 37.0221 39.2714 37.775 37.5194 38.5892 38.8587 36.8411 37.3609 37.1898 35.6143 43.1511 47.3393 59.5495 62.7872 59.0672 56.8113 50.041 47.6656 37.4228 34.6591 33.209 34.9881 42.7265 44.6618 46.5271 45.4356 43.0386 42.9912 45.4588 43.6748 46.5593 46.247 46.51 46.1637 51.1755 47.6777 51.4286 51.7677 51.7877 49.0467 49.3861 47.871 48.2598 47.8284 47.6897 45.4593 45.7785 46.4938 47.2594 32.5349 26.3202 28.1133 35.9601 41.6722 42.446 42.9876 43.0855 45.6935 46.9189 47.6814 48.5177 57.9345 49.5481 43.903 47.2851 42.6367 43.1379 45.4964 43.5059 48.7858 46.0825 59.74 57.651 42.5968 48.8302 37.1022 37.075 38.3798 39.8581 47.2703 49.1135 39.9529 40.5959 50.1881 54.469 57.2812 53.612 48.465 46.9421 47.2855 48.5823 53.7077 54.7574 50.0683 49.6154 50.5206 50.8068 46.7805 49.7181 50.5426 46.7432 51.3736 51.7458 51.5882 50.5771 52.6132 52.5355 52.0818 53.2859 42.0015 44.2715 39.8152 38.2742 46.0926 46.0149 58.6745 61.9697 69.0641 71.7633 74.5372 60.3685 48.6908 47.5159 46.1827 46.1251 47.8159 46.3836 44.8632 45.3921 45.7505 45.9509 54.4371 47.2908 52.1835 55.612 51.147 50.8274 55.1649 52.0774 56.0026 55.9093 56.3301 53.3982 50.3735 53.8927 54.5503 52.8391 52.9502 55.6109 54.9245 54.3795 53.5956 50.8597 50.3614 49.6314 49.3307 50.0222 46.0129 46.6731 54.4255 55.9174 55.125 55.227 52.6271 52.3803 50.8638 51.4869 40.7551 42.3465 46.4021 48.4818 54.5713 54.6636 61.7435 54.5374 47.4477 50.9505 49.6618 51.6252 43.6478 48.2037 42.7395 50.7152 56.0236 55.5927 54.2734 55.1382 64.0667 61.1183 65.6206 65.92005 59.0904 60.2601 58.6911 58.7775 54.1206 50.3247 40.6845 40.5254 47.7395 51.3455 59.7481 60.3226 58.3936 57.1607 47.9443 47.1486 49.758 51.7774 48.1901 44.118 29.8057 26.1106 23.4314 23.983 27.501 28.9764 32.4412 32.4236 35.6323 32.9792 46.468 37.4796 52.161 48.2033 46.0018 50.1416 47.176050000000004 44.2105 43.6295 41.6598 48.9911 47.6667 44.3651 47.15 33.985 34.9685 36.9305 34.9782 48.3514 45.3573 52.8915 53.6009 55.664 55.2174 52.5319 49.6623 40.118 39.2758 41.497 42.3937 44.8201 44.6844 47.7248 49.6781 52.634 54.1536 57.1303 56.6998 54.7209 54.4592 52.9006 51.9692 46.3345 42.7674 42.0208 44.1484 47.9956 54.5434 43.9845 45.5516 43.5201 43.2934 48.8528 44.4893 56.6038 50.6722 54.6769 56.727 52.7794 54.7713,1,NO 6507/7-A-38
50.6198 50.4664 50.95205 51.4377 51.9812 51.3304 50.4383 51.3905 51.5278 54.5613 55.5982 51.0659 51.3899 53.9116 54.921 68.0165 68.3858 62.38 59.6568 54.6881 52.3322 52.4226 53.9742 62.9826 65.3128 63.1028 61.9361 55.7499 54.0883 53.9047 51.2598 53.3378 54.0727 53.9019 58.979 59.6624 59.534 59.6965 59.5322 55.9781 59.6112 53.7647 53.4019 56.8452 56.2591 61.2793 60.5183 62.0396 61.5101 68.6992 66.6571 77.474 75.5175 74.8427 76.6994 71.2634 71.5395 71.9016 69.7322 69.4436 69.0054 68.9575 64.6147 63.9784 62.9452 63.845 64.707 65.4614 68.858 69.5145 69.6227 69.442 68.9266 69.2163 68.87495000000001 68.5336 65.8254 65.7215 66.3098 66.6646 68.0568 67.5284 65.4122 65.5364 65.216 66.2389 68.6358 67.7843 76.3 69.6097 84.332 79.1394 81.4093 84.3332 74.3306 80.3202 61.6585 70.802 54.0896 59.2606 50.1826 53.2533 43.2497 48.9645 37.8877 38.457 37.1228 37.2672 35.8001 36.1488 36.9535 35.9699 35.2043 36.2024 33.9194 34.0496 35.9396 35.3129 37.9059 39.1832 48.577 48.1521 46.7005 45.4535 41.4101 41.2415 41.5888 41.8588 43.998 45.1783 48.655 49.0451 43.8561 43.7461 42.7762 42.7052 43.9 43.839 42.5725 42.0549 41.8674 42.1727 40.5623 39.7833 39.3898 39.9723 44.4007 45.9357 49.1931 49.235 56.7081 49.3107 56.8149 58.2729 58.7704 56.5424 59.4305 54.6242 54.6797 60.2669 61.7288 68.2665 67.4859 63.8158 64.5519 46.4142 46.632 44.5335 44.3436 43.7105 43.0582 43.5709 47.7193 44.1223 45.014 47.7655 42.8235 44.3379 41.5639 42.0051 44.3905 42.3773 46.3577 45.0404 49.032 48.7688 53.716 53.6677 51.9914 52.879 33.5069 33.9056 36.4162 40.4307 41.2128 43.5591 45.2536 49.5103 50.4445 52.2688 52.0374 53.1953 55.1298 58.4153 56.2069 50.809 51.335 49.5363 48.9104 49.4401 50.3858 53.8685 55.0434 54.3436 53.065 48.2583 47.4688 57.1198 57.7009 51.8971 57.6361 49.8075 50.2472 46.1705 49.7356 43.3977 44.5528 43.9681 53.2923 48.2608 51.4119 47.121 52.6511 53.3443 62.4341 58.944 79.3438 85.0537 85.2922 79.7028 79.9867 72.5903 75.0811 71.7437 71.1001 65.2925 67.2741 60.3116 60.8694 60.2561 55.783 54.6141 53.3491 55.2201 64.1382 61.5384 58.1665 51.0219 48.9616 40.5789 39.4478 38.7255 40.8066 47.6853 49.2309 56.4269 58.1825 52.7645 46.8054 45.5413 43.8218 43.1998 43.976 44.5882 46.3568 48.14 43.461 42.4171 40.1224 39.2212 37.9795 38.1954 39.7044 40.1303 37.7651 36.2534 28.6723 32.947 28.0537 42.0435 35.4227 43.1894 41.1011 41.833 40.9488 40.2306 41.8379 37.7523 39.7906 37.2127 53.5007 49.1733 55.1392 55.043800000000005 53.4291 54.3219 52.4191 53.0776 51.9919 51.5344 47.784 48.735 45.5318 46.3568 39.7997 41.503 33.6601 34.6218 36.6826 35.0396 49.1939 50.1332 58.5021 60.5199 65.9267 65.2794 59.6964 60.2136 60.5565 60.5054 51.2059 48.5944 48.6183 49.7196 54.8109 56.6875 61.2601 62.4558 67.6597 70.7426 80.3483 83.3032 85.2097 85.0297 84.31 82.2295 78.997 78.2121 77.1391 76.7357 74.1931 74.3317 73.8138 73.1614 53.4864 54.5778 52.0735 54.8589 55.4196 65.3177 56.6707 80.5109 69.5527 89.8608 83.1072 90.67930000000001 98.2514 92.2121 108.1787 100.9949 117.579 109.6088 127.11535 144.6219 123.3017 162.8544 151.2487 160.8448 161.9142 164.3915 161.8509 165.1131 166.8682 159.886 160.7264 156.9981 158.6833 149.7308 151.4414 134.7653 139.9579 114.7784 118.0233 116.7578 115.464 118.9786 119.2315 116.0368 116.6796 112.3148 113.4885 109.8049 109.7921 109.4987 109.1101 107.9392 107.7097 105.4933 105.3063 103.3539 102.153 100.4314 100.367 87.245 83.1876 72.3393 71.9495 81.2324 85.2307 93.531 94.937 96.7983 97.6114 98.5554 99.4952 100.991 101.0088,2,NO 6507/7-A-38
95.0845 93.5935 88.2485 84.009 82.6946 83.1811 84.68 87.8232 88.9071 89.926 90.4869 87.3598 84.8621 74.0418 69.8243 55.6316 52.0145 50.1579 51.8311 63.3638 68.4853 77.7852 78.7458 81.4936 82.6491 86.4992 87.6773 87.012 86.8476 86.5829 85.94 85.1075 85.2678 80.3282 84.068 82.7349 82.4908 80.6358 79.4911 81.8421 80.3251 79.2844 79.5883 80.1184 80.3733 80.2349 80.2569 80.4179 79.2105 72.8719 72.8536 75.2467 71.5814 74.6824 75.0075 71.6933 74.6747 75.3948 77.44 74.7561 77.8859 78.6678 83.5849 82.2304 100.3018 99.0223 100.8421 101.6539 86.0361 90.6099 74.0404 73.8828 75.3577 75.0055 73.6823 74.9142 72.8173 72.9054 73.2805 73.276 76.1957 75.5552 78.5866 78.1215 83.6416 82.2825 74.7274 77.0573 75.2569 75.7413 49.9301 47.138 36.6724 35.2743 33.6394 34.3321 42.0039 46.1176 60.8976 64.7817 71.6581 71.7397 63.2502 63.9956 66.8667 66.9448 67.524 67.9914 70.9279 72.4331 75.6318 75.6127 73.6729 74.3846 74.1645 73.2763 71.5514 71.2542 72.4014 73.2226 75.2906 75.1435 73.9831 73.3242 71.2755 70.6064 52.5183 48.1366 40.0923 37.9943 36.9465 38.2264 48.2253 52.9914 62.5658 64.9182 73.2398 73.5732 72.5629 72.4655 71.6749 70.9144 68.5734 67.1068 61.8457 59.9717 55.2087 54.7949 61.913 62.7725 65.4686 66.1139 62.5941 61.9034 60.5164 61.5396 64.5676 65.6419 68.4636 69.6369 72.3081 72.4699 72.4767 72.713 73.4352 73.0162 46.6893 42.8688 33.9351 36.725 34.0521 38.4791 49.2863 49.9178 67.4035 68.1492 68.5735 66.0828 67.599 67.3235 66.4719 66.94 69.1618 69.7004 69.39,3,NO 6507/7-A-38
