DEPTH, NO 6507/7-A-22,NO 6507/7-A-28,NO 6507/7-A-29,NO 6507/7-A-40,NO 6507/7-A-52,NO 6507/7-A-9
162.5,90.1274,76.9086,112.91,87.8173,83.808,91.6818
164,89.1274,77.0111,108.37,101.9317,89.902,78.2151
164.5,87.3272,77.0291,106.43,88.0117,76.986,84.9167
165.5,83.6022,83.8269,112.91,96.5024,71.786,74.2869
167.25,94.4471,83.7863,111.04,97.6665,80.022,90.0104
169.25,103.5487,78.6395,105.42,84.8328,97.328,86.2261
169.75,107.1641,76.2087,102.96,98.8253,93.21,75.8159
170.25,99.7729,80.142,107.43,109.4704,79.731,74.3292
172.25,101.2422,87.7816,112.48,93.6422,77.547,68.161
172.75,99.4509,94.9196,109.17,98.6258,87.011,68.6146
173,94.9354,96.2015,109.89,99.9997,82.498,78.0246
173.5,114.4698,94.7517,114,102.6304,85.784,80.1984
174.5,100.8853,91.6715,105.13,96.3141,98.971,78.4962
176,112.5435,89.3565,108.7,99.8289,92.731,68.5563
177.5,114.0224,93.8051,107.98,93.4962,95.664,70.6166
181.25,110.4462,88.2845,100.8,95.8086,106.334,72.8392
181.75,105.6092,84.195,100.91,95.8211,81.437,75.2953
182.25,94.1264,83.8186,97.56,101.6223,89.674,80.4774
184.25,108.7253,77.9818,96.47,90.4326,81.707,74.6557
184.75,92.3417,77.7744,97.34,85.4253,100.115,74.2321
189,101.739,85.4448,101.81,93.4221,87.157,81.3014
189.5,97.4596,86.8086,102.1,90.7003,88.405,77.2828
191,86.6226,91.6085,100.08,89.7877,80.314,75.4601
192.5,82.5654,90.8965,97.12,82.4435,81.291,67.4012
193.75,88.0224,87.9649,97.18,104.5885,79.211,74.5184
194.25,88.6881,89.073,97.63,99.7409,85.056,89.2525
196.25,82.5532,92.2839,96.69,98.8141,92.752,71.2528
196.75,69.1234,91.5217,99.07,98.9212,97.619,68.1851
197.25,83.4476,90.4967,100.37,98.0854,85.347,71.0643
199.25,85.5718,96.4911,103.69,118.3689,79.211,74.5448
199.75,82.345,96.0407,99.94,114.3413,89.237,76.7524
200,84.534,94.059,105.34,105.1108,85.056,63.816
200.25,79.5357,91.7691,100.15,116.6998,90.36,70.8613
201.5,80.7041,88.1597,109.45,112.8222,86.45,64.341
204.5,85.7992,96.8792,96.91,109.2584,95.102,56.6526
206,97.115,95.4098,93.45,101.952,95.102,59.0681
208.25,87.0797,100.7555,94.1,114.6463,95.518,57.6875
209.25,105.1777,102.8856,97.63,110.769,94.27,55.7765
209.75,108.5084,103.315,98.64,111.0156,95.518,58.674
211.75,99.2804,99.6838,95.18,118.4846,95.102,61.3283
212.75,83.1905,96.8279,92.58,107.6212,87.989,71.559
215,65.8324,97.502,95.36,101.3994,91.962,62.3317
216.5,68.6631,94.6284,93.27,93.8135,92.877,66.4738
218,71.1771,82.9183,87.88,98.7783,92.17,56.9853
219,71.2486,79.9536,88.5,76.6043,85.056,58.691
219.5,70.439,83.4134,89.31,89.3355,96.538,57.6887
223.75,44.7964,79.5511,94.31,100.6471,79.731,85.8034
224.75,78.9792,72.2857,92.29,75.4675,66.149,73.3503
226.75,74.4618,80.1584,104.26,68.5438,69.477,93.1892
227.25,81.2725,78.5705,108.16,72.6405,54.938,88.9917
227.75,91.5499,80.6157,107.51,73.8963,75.03,81.7915
228,92.2653,84.6331,94.31,73.3506,72.16,65.7437
229.5,116.3676,85.0344,92.15,75.3439,85.909,67.4584
231.5,56.9082,95.1285,92.8,96.3496,69.331,58.7431
232.5,53.5306,98.7652,93.73,89.0868,72.514,63.2267
234,63.9505,75.8841,86.52,87.1801,77.942,69.2639
240.75,82.9354,67.496,93.01,96.7155,69.997,58.1375
242.5,93.8748,90.0654,91.28,121.6788,83.392,56.7401
244,66.7619,106.6363,91.86,113.2429,85.264,66.8986
244.5,65.9705,104.6669,94.2,118.4032,58.286,67.5857
245.5,52.8019,81.0807,92.15,93.7591,61.635,61.8857
247.5,62.3025,96.9591,90.88,101.5874,54.376,75.8767
248.5,69.4475,64.1609,102.53,126.4825,49.509,84.5526
