DEPTH, NO 6507/7-A-22,NO 6507/7-A-28,NO 6507/7-A-29,NO 6507/7-A-40,NO 6507/7-A-52,NO 6507/7-A-9
1185.75,85.2262,74.3993,87.0509,73.6399,57.038,66.5536
1186,90.1239,74.9023,82.6712,83.4526,58.286,62.7365
1186.25,87.7599,75.5221,83.8133,80.827,38.63,73.1559
1187,87.508,81.5034,84.5922,86.1197,58.702,66.123
1187.5,86.412,83.7369,84.0926,84.931,57.87,62.6884
1188.25,76.8935,83.3463,84.2783,87.3867,58.702,68.3127
1188.75,80.8906,78.9872,80.6465,89.2056,63.029,71.5588
1189,83.6533,78.3951,75.28,85.0017,61.427,64.5848
1189.25,83.8414,77.9528,77.1607,82.8391,57.454,72.4866
1189.5,83.9242,77.5624,74.8776,84.8613,57.454,72.4022
1190.5,93.3831,76.3515,77.3882,88.6112,64.152,68.5442
1191.25,78.4015,79.3304,75.0457,90.3156,64.984,66.8686
1191.75,85.376,83.3237,77.7954,80.5759,61.635,70.9154
1192.25,87.4022,86.9311,76.3179,77.8046,66.648,69.5363
1192.5,86.3797,87.4629,77.1531,73.659,66.648,71.7866
1193.5,82.6667,84.9538,79.1087,86.4051,59.555,71.9821
1193.75,88.5861,83.8508,79.4799,83.6791,59.555,70.5715
1194.25,85.1123,87.1307,80.1646,82.2146,69.435,67.7075
1194.75,77.8713,85.0157,83.2427,84.094,68.333,64.4421
1195,80.5092,85.2089,85.7702,78.587,62.675,71.4934
1195.5,85.9084,84.3857,83.1773,85.5637,64.568,73.9446
1196.75,84.9418,79.9146,86.7584,61.151,68.333,66.7789
1197,86.3632,79.3028,81.7859,85.6781,65.317,72.7723
1197.25,88.4509,77.5956,79.0004,69.963,67.501,72.3995
1197.75,107.3809,75.4789,80.1532,83.8477,65.317,74.5124
1198,92.5033,77.2295,79.184,81.2643,60.803,71.9401
1198.5,91.5748,77.5316,82.3397,82.9518,64.152,69.3504
1199.25,97.7313,77.9287,82.3834,84.5944,60.803,73.5555
1199.75,91.1217,71.7376,85.3284,89.1192,61.635,77.0178
1200,93.1432,67.9947,83.4007,89.4664,59.763,71.3366
1200.25,95.6702,63.9871,88.242,88.3128,60.803,65.5961
1201.5,77.5235,66.9799,84.5693,89.2475,67.501,72.9853
1202.25,74.0585,87.6432,86.1901,88.1569,61.011,56.9138
1202.75,78.7221,90.2526,85.9041,83.617,61.635,57.0358
1203,74.934,87.6176,84.7774,90.2867,58.016,70.8229
1203.25,85.8053,84.4884,82.9606,96.8381,65.816,62.8191
1203.5,101.047,81.7763,83.0286,91.4093,65.816,68.3238
1204.5,81.1875,81.9904,86.6023,84.9786,59.555,69.6801
1204.75,88.2997,82.4317,81.7854,89.2578,59.555,71.0457
1205.25,95.1714,83.1069,81.7462,90.0835,54.938,77.0935
1206,84.7853,80.4555,85.5779,90.714,57.621,64.2
1206.5,85.642,83.376,83.6231,84.3165,59.118,66.6467
1208,81.7523,83.1609,83.8438,77.4703,66.378,74.1612
1208.25,88.5489,80.075,81.0306,79.2091,55.229,68.4864
1208.75,84.6429,77.68,81.6339,73.5672,66.378,69.2426
1209,83.2874,78.1224,80.7859,85.6021,59.118,67.5377
1209.5,86.6593,77.9522,83.2472,87.1766,59.118,70.3517
1210.25,85.6349,81.2454,80.0407,83.6208,59.118,68.4551
1210.75,96.1126,80.979,77.873,82.0345,60.242,70.6687
1211,96.601,80.5905,82.2335,90.2179,60.803,65.9937
1211.25,94.7976,79.7665,82.6731,81.808,55.229,70.3154
1212.5,97.5123,78.0309,85.8438,87.6862,60.242,72.423
1213.25,88.7525,74.3252,83.7068,88.6089,61.219,72.0085
1214.25,99.5369,77.6716,80.3129,89.1319,62.883,73.1576
1214.5,103.3445,81.1164,79.1165,85.6705,62.883,74.7234
1215.5,99.888,84.224,75.3773,97.4654,62.467,71.7798
1215.75,103.0402,82.381,74.2732,95.6,62.467,72.9109
1220,86.2915,82.9533,84.3936,91.3166,61.635,75.2434
1220.5,91.0364,84.2671,83.841,93.8368,59.326,74.2669
1221.25,92.5565,87.7412,85.0221,91.9758,61.635,74.8135
1221.75,91.8391,88.3015,86.5736,95.6194,64.568,70.1757
1222,96.543,86.4772,82.4529,91.2938,66.648,73.3718
1222.25,91.0433,83.8377,83.8486,93.2621,66.232,70.8169
1223.5,88.7027,83.3289,83.949,92.5006,65.816,74.1199
1224.25,88.1367,83.6428,77.535,87.6133,65.254,79.4699
1224.75,93.161,83.4337,75.0825,86.445,61.635,74.1126
1225,96.7133,83.7224,77.0936,80.6033,63.32,76.2867
1225.25,95.7704,84.3125,79.0317,95.2385,64.152,73.1133
1225.5,94.6009,85.3512,78.0763,90.9769,64.152,77.0987
1226.5,93.3084,81.9104,80.2415,71.2161,67.917,71.3776
1226.75,88.075,81.2567,83.9593,69.0136,67.917,71.6095
1227.25,97.2924,81.4956,90.0221,68.303,67.771,70.4743
1227.75,93.4181,85.0243,90.5768,70.8692,58.578,65.9644
1228,92.6186,87.6097,79.1945,77.2071,28.834,75.9003
1228.5,95.0497,87.0682,85.3856,77.9186,62.259,70.6183
1229.75,93.7281,86.9568,80.5346,79.6246,57.454,76.6688
1230,89.4211,89.0888,85.3209,76.9117,60.803,80.6696
1230.25,85.0405,90.6914,85.0371,69.7701,59.971,74.6623
1230.75,87.5143,92.2813,85.5513,78.8232,60.803,78.7748
1231,89.5657,91.7831,81.0594,45.8186,58.286,67.356
1231.5,85.3824,89.4865,83.8492,68.7923,74.739,69.1401
1232.25,86.4346,84.2673,84.2153,47.7055,58.286,67.9372
1232.75,83.5072,82.5001,87.6066,48.1612,49.093,69.337
1233,85.3929,80.6601,77.5335,46.2066,59.971,69.1636
1233.25,88.2273,78.8141,80.8819,45.6582,54.522,67.8329
1234.5,97.3563,75.098,62.4658,45.6103,59.68,64.4996
1235.75,87.1453,76.673,86.8451,44.3809,40.086,66.5475
1236,94.2316,76.9793,71.8058,43.3601,62.467,63.8806
1236.25,96.2797,76.6774,85.2186,43.6018,54.272,65.4332
1236.5,95.2792,75.9505,78.6538,44.8032,54.272,64.1496
1237.5,87.9294,74.9576,74.4337,41.2422,65.4,63.1826
1238.25,82.2035,73.9088,81.7638,41.2924,63.861,65.2838
1238.75,62.0886,74.8889,75.5766,45.8685,81.374,66.2671
1241,85.6861,84.2959,84.2665,48.1135,64.984,69.8656
1241.75,94.6199,84.8628,82.732,47.6745,64.984,70.8883
1242,97.4796,84.5418,87.9559,48.5016,51.589,61.9193
1242.5,92.0941,83.3298,87.4928,49.349,70.288,69.7166
1243.75,96.0395,81.3685,81.874,57.1246,60.242,70.7166
1244,97.2941,82.9102,80.9112,53.5646,60.138,70.1213
1244.25,99.3067,84.2438,77.6349,61.7278,61.302,75.4937
1245,96.1695,83.5231,76.4499,42.0076,55.562,69.9612
1245.5,95.1582,82.4234,82.6709,42.396,62.467,70.2894
1246.25,90.6763,83.7651,74.7001,42.0859,55.562,70.7843
1246.75,83.9683,83.5797,77.8794,40.2443,58.286,70.918
1247,86.125,83.4237,78.6332,40.8263,49.925,68.8448
1247.25,89.9373,83.4366,84.6053,37.4236,58.578,69.5101
1247.5,91.7685,83.5579,83.2853,37.6646,58.578,69.4752
1248.5,84.9361,80.0265,79.4404,39.5974,55.25,70.0362
1249.25,86.1303,78.2379,75.5311,38.0035,52.858,66.9553
1249.75,89.6595,78.8926,75.586,36.0129,63.736,64.2412
1250,92.0097,78.4765,76.2807,49.3332,55.499,70.12
1250.25,93.3964,78.1444,75.632,31.4312,58.702,67.7458
1250.5,88.2949,77.5096,75.1904,33.0752,58.702,70.032
1251.5,90.7624,77.1315,78.565,61.4462,54.106,68.9515
1251.75,90.0805,78.0661,79.1523,61.7679,54.106,68.4493
1252.25,92.2808,82.8605,78.9308,67.2865,56.622,73.0304
1252.75,86.2143,83.0504,81.4121,69.6508,53.274,74.4518
1253,86.2256,83.8458,78.3005,60.7136,60.803,69.2834
1253.5,90.1208,84.1885,79.4854,67.0767,55.77,72.4257
1254.75,93.0795,78.6993,78.9868,52.6485,61.219,72.1437
1255,90.1419,79.3598,79.2211,50.7018,70.288,66.8943
1255.25,91.1471,79.9746,78.7485,49.7061,55.499,74.5562
1255.75,93.029,80.7032,78.7378,51.0758,70.288,68.4188
1257.75,94.2729,76.2182,80.6255,63.5188,59.118,73.5856
1258,94.4233,77.0691,76.0542,60.1239,53.835,76.7805
1258.25,97.0326,77.9259,81.7631,67.7239,58.578,71.5851
1259.5,99.0485,84.1454,79.9021,62.2398,50.757,76.3394
1260.25,91.5165,85.0789,79.2051,56.9682,59.971,76.3196
1260.75,93.5871,84.0709,77.5174,53.1828,64.152,73.0262
1261,93.6247,83.8731,80.7588,50.0615,56.622,72.5273
1261.25,91.2063,84.3935,80.5841,52.4121,62.467,69.3586
1261.5,90.3445,84.6666,80.9826,51.8417,62.467,73.7444
1262.5,90.1997,83.963,81.756,53.0359,61.968,76.0585
1262.75,88.2738,83.568,81.7874,54.9231,61.968,75.2786
1263.25,92.2127,85.0342,86.1412,53.071,59.971,76.0919
1263.75,98.834,86.2015,84.7189,48.5046,57.725,76.5991
1264,99.3988,85.504,80.9184,62.0471,64.152,77.2816
1264.5,95.091,82.9906,80.1547,48.9911,62.966,80.6253
1266,95.3988,87.4713,80.8767,69.7247,59.971,64.2579
1266.25,94.7277,88.3152,83.9362,76.2604,63.32,66.8897
1266.75,101.6892,87.2244,82.4,71.3742,59.971,65.1583
1267,102.9673,84.1549,83.388,80.9396,63.736,60.7186
1267.5,102.9466,77.2457,78.3349,73.4722,56.622,66.026
1268.75,90.0111,69.1476,80.8186,78.7215,57.038,46.9693
1269,88.863,70.6986,77.4715,82.9271,65.816,62.923
1269.25,88.1623,71.5432,81.6071,77.4738,69.165,53.5626
1270,100.1376,75.0386,85.368,87.4197,58.557,76.1746
1270.5,102.9876,76.5966,77.4912,81.8479,57.454,70.8228
1271.25,83.6218,82.0816,84.9803,86.0428,58.557,76.5948
1271.75,81.3798,86.001,81.2047,80.1938,63.736,74.6365
1272,71.505,88.0962,88.3611,70.8342,60.658,76.6141
1272.25,68.6355,88.4324,79.7012,75.7208,56.685,76.3173
1272.5,76.1164,88.9125,82.8804,74.4836,56.685,74.654
1273.5,97.4766,90.5544,86.386,68.421,57.454,79.7617
1274.25,85.8933,87.2627,77.7916,68.9752,65.171,79.1407
1274.75,91.1438,84.4859,81.0444,72.6769,60.242,81.4207
1275,91.0195,84.4592,83.0657,71.1761,64.152,70.0934
1275.5,96.9978,85.4242,84.8602,74.3524,59.222,69.7007
1276.5,90.4892,83.6465,83.7485,70.7562,62.114,69.7562
1276.75,92.0793,84.1576,85.7247,72.497,62.114,67.091
1277,93.2517,83.987,86.1636,66.5998,66.232,68.7773
1277.25,92.4892,83.7412,87.3036,69.5944,63.32,65.2017
1277.75,90.3332,85.8647,86.454,67.1663,66.232,64.8404
1278,89.2744,84.0761,86.4333,67.9658,67.085,69.9467
1278.5,83.3275,82.1414,87.3042,67.8196,69.997,65.09
1279.75,86.8795,82.4788,80.0205,72.192,69.789,79.2469
1280,92.8562,83.2847,83.9835,72.1757,56.726,86.1435
1280.25,92.3662,83.3983,77.3166,72.4981,58.078,83.8441
1280.75,85.8585,81.9905,82.8755,71.4264,56.726,83.2194
1281,83.0709,81.2184,80.621,71.3511,56.997,84.8546
1281.5,93.3015,79.2703,81.8013,71.1499,57.454,82.6339
1282.75,88.9765,80.0653,71.8954,74.1082,55.437,81.4449
1283,85.998,80.2758,91.7261,79.2453,58.286,76.4283
1283.25,85.1811,81.132,83.3327,72.836,62.654,75.1525
1283.75,90.2199,81.1343,89.3987,76.2962,58.286,74.199
1284,93.9101,80.7049,86.8904,83.4389,60.075,74.5431
1284.5,95.1481,85.7664,88.1685,84.5637,60.47,78.5555
1285.25,79.5377,89.5843,87.6832,83.5568,60.075,74.6585
1285.75,88.2836,88.4737,88.3328,87.9148,56.747,73.2454
1286,91.7328,86.6189,89.9568,86.3279,60.242,71.3198
1286.25,93.828,84.6856,86.2341,89.5951,60.97,67.0559
1287,87.1196,82.908,92.9812,81.5752,57.954,73.0043
1287.5,84.6931,85.8914,86.8657,79.7037,58.016,72.5532
1288.25,82.104,90.0507,91.3787,81.9543,57.954,74.1671
1288.75,73.6301,90.1118,89.336,82.7855,57.454,71.6925
1289.25,78.7079,84.9377,92.6884,85.0367,63.632,71.1133
1290,78.6108,83.4977,89.7504,90.3715,64.443,71.9542
1290.5,87.4005,81.6434,93.1428,85.3023,67.085,72.1892
1291.25,89.549,82.8323,88.3543,88.8935,64.443,72.2248
1291.75,94.3407,87.9132,88.6351,87.8105,56.331,72.994
1292,93.396,89.5875,88.3073,89.0699,64.984,76.0683
1292.25,92.1237,89.6883,86.9904,80.752,61.427,73.4211
1293,92.2019,88.4263,93.9791,87.4195,74.427,71.1789
1293.5,89.7276,84.7226,91.691,86.8795,65.982,72.3672
1294.25,92.5367,84.6419,94.1579,83.9453,74.427,71.0972
1294.75,87.5448,83.1997,88.5483,79.7688,59.368,74.421
1295,89.4824,83.7718,87.0944,65.2573,48.49,83.8486
1296,89.3556,83.5374,89.8764,70.4463,64.859,76.7572
1296.5,90.1949,87.7502,84.7871,63.2504,66.232,81.8189
1297.25,95.2864,91.3097,91.3651,78.4321,64.859,76.8201
1297.75,97.0841,89.8993,90.2946,101.1137,68.562,75.0538
1298.25,92.7456,87.2143,86.9483,110.4548,75.987,70.4497
1299,88.4507,85.7348,87.2815,60.0257,46.077,74.3112
1299.5,93.4057,85.7006,87.1997,64.9979,53.419,76.9196
1300.25,86.4328,84.3566,86.009,69.8979,46.077,71.1801
1300.75,89.2699,83.0023,86.7294,100.2642,42.25,67.3041
1301,85.8939,83.7831,96.8727,76.8562,46.576,56.4412
1301.25,86.2591,84.7386,97.5501,94.4821,31.309,68.4986
1302.5,91.5489,85.2818,88.393,74.0033,44.746,57.7897
1303.25,89.2872,87.9578,86.0093,70.4679,56.165,71.5276
1303.75,95.5636,88.0697,82.1191,73.7367,66.856,77.7195
1304,97.9592,87.8094,83.1347,72.5091,66.211,77.7182
1304.25,97.697,87.1298,77.769,75.6684,61.219,78.3096
1304.5,95.4687,85.84,78.0768,73.8864,61.219,80.5189
1305.5,88.8568,87.4367,86.6689,76.9402,67.73,78.5709
1306.25,103.6945,85.902,92.2318,78.9848,64.714,77.9883
1306.75,87.2934,85.521,86.5987,81.6713,64.984,77.0844
1307,82.0347,85.6309,80.611,80.8381,62.467,76.4326
1307.25,82.5198,84.9646,84.4971,84.893,63.965,78.3163
1307.5,83.9479,84.1583,84.2391,83.0963,63.965,78.7612
1308.5,90.9389,84.4584,74.9781,83.7019,68.645,72.3752
1309.75,75.3618,78.5322,91.9052,79.9892,60.325,70.2258
1310,75.9637,79.9119,85.9872,82.0936,61.219,70.2627
1310.25,77.4707,83.8001,91.4033,83.997,71.12,70.407
1310.5,75.9289,86.5735,88.5857,86.2815,71.12,71.7857
1311.5,76.1492,86.3286,89.1426,79.4177,62.779,69.2094
1312.25,78.559,85.5256,79.5864,78.5162,53.544,77.9598
1312.75,89.8382,84.8224,82.3505,81.8732,62.842,77.9698
1313,86.3692,85.095,84.046,85.3674,60.678,75.0929
1313.25,83.2402,85.6495,87.3926,83.1793,63.736,75.4062
1313.5,84.063,85.4423,87.7337,82.6299,63.736,74.8004
1314.5,92.7144,87.256,82.3362,89.0589,65.65,77.103
1315.25,93.0961,82.3784,80.4412,90.0312,64.152,74.7035
1315.75,91.7895,80.9125,76.7626,96.8167,61.136,78.6574
1316,89.9718,81.8789,82.8506,92.4551,60.242,78.0663
1316.25,89.4668,82.9977,82.6097,96.5266,61.635,79.2184
1316.5,91.7783,84.5969,85.5802,94.0978,61.635,74.7265
1317.5,88.4566,88.722,78.4053,89.9164,65.234,72.8942
1318.25,88.2443,85.279,81.0597,95.678,66.378,70.0524
1318.75,79.7833,85.2173,80.8049,88.4539,68.478,68.8997
1319,80.2618,85.3505,79.0282,77.5194,63.029,75.5311
1319.5,89.432,89.7316,82.3047,78.646,63.528,74.9982
1320.5,84.708,87.5166,74.1985,74.3759,70.163,76.7267
1320.75,83.0012,86.1511,74.1594,71.7308,70.163,77.5658
1321.25,84.5316,84.1125,82.3379,73.9705,64.714,73.9193
1321.75,92.6745,82.0026,89.0924,74.8909,59.41,75.4591
1322,94.6222,80.7666,82.4193,72.0457,64.277,73.6167
1322.5,82.462,84.1003,88.3515,76.3804,64.485,72.4473
1323.5,73.7185,84.6518,83.7238,71.7861,66.128,77.6783
1323.75,78.4269,82.5971,80.9082,71.4296,66.128,77.5591
1324.25,86.918,78.6211,79.4958,76.8879,66.44,77.7758
1324.75,91.3571,79.1826,80.5525,81.2409,65.65,71.9824
1325,91.9203,79.6856,86.8726,85.3683,69.643,70.3518
1325.5,78.2763,79.4824,86.8518,82.975,66.856,72.5306
1326.5,79.0788,77.1974,87.7994,82.7077,65.941,71.9644
1326.75,77.5055,78.2832,89.9276,82.1255,65.941,74.0217
1327.25,77.9755,81.4885,94.3839,83.0213,68,76.7012
1327.75,89.845,81.7043,94.9489,82.489,66.274,73.4762
1328,95.3951,81.6858,81.7535,77.2984,63.757,80.4919
1328.5,89.0592,80.3329,80.1683,79.5587,65.816,73.9585
1329.5,87.9263,83.3968,84.1391,76.0986,56.102,76.5031
1329.75,91.8458,84.0291,85.5446,75.0027,56.102,76.766
1330.25,90.226,84.3803,85.4161,72.8122,69.518,72.7176
1330.75,87.9427,80.9261,86.6425,74.5975,73.824,75.3156
1331,88.8934,81.061,84.4887,93.3521,62.654,74.4453
1331.5,93.1599,82.4258,82.595,85.0836,66.96,74.6668
1332.5,91.1354,82.9216,86.0134,87.4972,60.762,74.3485
1332.75,88.3628,82.1543,88.6993,83.0103,60.762,75.7447
1333.25,95.5147,82.0324,84.2592,84.5713,63.133,77.6202
1333.75,92.6241,83.9959,80.5297,85.4055,57.558,76.2847
1334.5,91.7567,87.7954,82.9666,84.1842,66.315,77.0565
1335.5,87.8869,88.1673,80.0717,72.7549,52.275,71.2856
1335.75,89.9009,87.2227,82.2101,71.9418,52.275,72.1518
1336,94.4593,86.6098,80.3848,72.4671,60.366,71.8141
1336.25,99.272,87.3447,80.9953,72.4835,61.219,73.7922
1336.75,98.0515,86.9376,78.537,72.0865,60.366,71.7782
1337,97.9598,86.9885,80.4902,66.4926,61.282,68.6014
1337.5,101.1236,88.7776,83.9431,71.7566,68.166,74.2105
1338.75,86.6995,81.4815,83.0501,62.7604,63.736,55.8032
1339,66.9251,79.416,86.1307,71.142,65.816,64.9628
1339.25,51.4075,77.5224,85.5922,64.4,60.346,60.6819
1339.75,55.6763,68.4652,85.6788,67.4343,65.816,66.3003
1340,51.6972,66.0842,86.1911,82.1068,66.648,70.3979
1340.5,45.5954,65.4287,87.219,79.3901,64.922,69.1846
1341.75,82.7282,76.5456,84.6086,87.2716,64.235,79.0203
1342,82.5552,79.8925,77.5159,82.1345,64.734,76.817
1342.25,86.7716,82.9956,84.9966,85.036,71.078,79.2054
1342.75,99.9048,85.056,78.5469,83.0099,64.734,77.1481
1343,94.761,86.5454,84.2598,70.5559,73.845,74.2146
1343.5,98.2501,87.3197,83.8632,76.7545,73.97,76.5884
1344.75,109.9628,83.9351,83.392,71.4973,72.347,75.3175
1345,112.1651,81.7424,89.8666,80.8537,70.184,76.9803
1345.25,108.1516,79.6071,80.7658,74.8277,70.454,74.3544
1345.75,98.7788,76.2861,86.6989,79.239,70.184,76.702
1346,98.6125,75.6317,86.3172,72.9504,74.968,82.9086
1346.5,100.729,77.5503,88.1635,79.7763,72.701,74.6083
1347.25,107.3097,79.2055,85.6354,69.1458,74.968,85.0818
1347.75,108.847,78.0986,85.5667,69.1844,79.419,83.7677
1348,104.3659,75.923,87.4931,71.881,83.558,76.7318
1348.25,104.8237,77.354,85.7776,68.0937,76.008,77.7808
1349,106.6859,79.4461,87.0347,75.0535,75.342,76.7006
1349.5,103.8187,82.1094,88.3941,71.4761,79.17,75.6667
1350.25,112.8275,80.681,86.7333,77.3741,75.342,77.2465
1350.75,121.789,79.1588,84.9463,73.4433,84.182,81.5909
1351,127.7097,78.7266,82.6342,75.8197,71.474,63.4414
1351.25,124.658,79.0202,84.1844,72.6074,76.902,79.0275
1352,126.3262,77.6478,89.9899,75.2323,75.696,67.5696
1352.5,123.0425,75.6387,85.0063,71.8807,73.034,64.1377
1353.25,129.3336,74.7544,91.2049,78.0132,75.696,68.8861
1353.75,128.7024,76.6677,92.184,80.541,78.088,76.5234
1354,128.5844,77.276,89.2833,81.5083,77.859,70.6492
1354.25,125.546,77.7529,90.8338,83.8126,79.981,74.9037
1355,116.8291,76.1279,84.102,79.7405,77.526,63.4086
1355.5,127.2928,76.6759,85.744,78.5834,79.294,66.9133
1356.25,126.5132,79.6777,82.991,82.1125,77.526,59.2639
1356.75,141.1002,81.7161,80.6442,84.5415,86.117,56.354
1357,140.3584,81.3694,88.5295,78.4776,88.842,73.4266
1357.25,133.5586,81.4905,79.1415,80.1943,86.97,67.131
1357.5,135.5643,82.9196,81.0884,76.9666,86.97,71.3726
1358.5,131.5034,82.4443,91.9938,80.0536,95.934,75.2725
1360,145.3648,84.5008,90.4106,85.4445,87.864,71.3759
1360.25,131.2643,84.2529,89.8643,80.8391,94.437,73.7387
1360.5,119.6779,83.568,89.0852,81.2181,94.437,69.2239
1361.5,89.8823,85.2047,88.5727,90.5626,88.571,72.6728
1365.75,91.4754,84.4241,86.1396,87.1504,89.382,75.6348
1366,88.1406,85.4492,83.9989,92.518,88.405,73.5538
1367.5,88.7048,87.8984,72.8675,92.1442,83.184,69.2827
1367.75,87.7949,87.2952,70.6716,91.8739,83.184,70.8615
1368.25,90.4615,88.3769,74.0224,93.2839,81.083,73.4183
1368.75,88.0775,86.792,67.7913,91.7296,83.288,78.2353
1369,84.607,87.3625,84.798,91.7524,74.178,80.2324
1369.5,94.7398,87.5804,76.8867,93.4273,74.261,73.3381
1370.5,90.3027,84.0588,86.7099,88.482,71.682,81.2173
1370.75,89.5857,83.738,84.0641,89.2915,71.682,77.2926
1371.25,90.0092,82.4322,82.4396,95.8915,60.803,77.2572
1372,95.7022,83.0074,91.2067,92.7675,75.862,75.7379
1372.5,81.5483,82.2703,88.7235,93.9855,72.098,76.9297
1373.5,86.6805,85.4618,92.1604,93.1264,76.382,79.638
1373.75,83.3203,86.9917,90.1166,95.1297,76.382,80.3813
1374.25,85.2517,89.44,87.3415,95.7564,63.736,77.4061
1374.75,84.524,90.4589,83.5836,92.1737,74.739,73.5892
1375,79.5338,89.985,86.3396,97.8379,83.101,79.8554
1375.5,79.6496,89.0435,83.9528,98.9133,85.576,76.4633
1376.75,79.3614,82.5481,93.7086,102.6746,83.101,74.8439
1377,77.8595,79.8301,79.6562,107.6708,82.914,79.098
1377.25,78.9864,80.7829,91.1946,100.4686,81.624,73.4743
1377.75,75.2416,82.5829,79.3794,102.0651,82.914,77.4074
1378,72.309,83.7181,85.9902,110.9819,82.56,79.7261
1378.5,69.8033,87.5784,85.2764,113.263,82.394,80.0871
1379.75,82.975,84.6845,92.416,118.9968,86.637,70.7753
1380,86.1588,83.9564,87.3355,106.3517,87.822,76.0473
1380.25,94.6043,82.9679,92.0066,115.558,80.043,78.7869
1380.75,93.0908,83.2799,89.9448,107.6652,87.822,78.7082
1381,89.8356,83.6791,79.1776,110.2124,87.573,75.0157
1381.5,87.1996,85.0052,82.0851,107.7214,87.011,76.3879
1382.75,81.061,87.2621,83.0343,105.7653,104.587,74.3458
1383,81.0064,87.8176,87.6504,104.7708,90.506,73.3249
1383.25,79.4576,88.3052,86.9159,108.7006,87.323,70.2471
1383.75,83.7371,88.8044,86.4861,106.6489,90.506,69.4252
1384,85.2151,90.2247,79.9676,115.0277,94.458,70.411
1386,86.5891,93.0276,93.0702,104.9281,82.331,69.261
1386.25,85.9335,92.5892,88.2352,112.5553,77.88,75.3205
1387.5,96.8891,85.8008,94.4693,108.6779,78.317,70.4287
1390.5,106.3209,107.5451,88.8359,117.7593,75.862,78.251
1391.75,110.8677,104.8906,77.8191,116.9969,64.152,73.1775
1398,111.9935,93.4355,80.9967,116.3967,76.694,72.821
1400.75,96.0412,96.7988,84.6718,114.6344,81.707,67.8666
1401,96.2327,96.6577,81.9071,113.8953,75.197,73.1195
1401.25,95.8511,96.1579,84.443,116.4144,79.066,70.7592
1402.5,86.3659,93.1141,87.6752,112.0053,74.822,74.3584
1402.75,85.3787,92.7727,92.2486,112.6324,74.822,74.4848
1403.25,82.4726,93.0243,98.7947,116.7862,71.453,74.5131
1403.75,81.5448,93.8386,97.0214,115.7636,71.162,75.084
1404,83.7455,93.947,113.8527,102.6057,80.646,69.9643
1404.5,89.2538,91.3346,106.2861,111.7376,79.44,74.3291
1405.5,93.7032,89.2269,113.0918,110.7819,82.56,65.9079
1405.75,100.8514,90.3981,109.2707,116.5202,82.56,64.8635
1406,101.9938,91.7135,91.7154,108.2256,76.694,69.6307
1406.25,99.0941,94.1542,101.8711,109.9708,84.827,63.5001
1406.75,94.547,95.0032,96.108,110.8424,76.694,68.1314
1407,96.6881,93.8139,83.4664,103.5341,87.698,75.6466
1407.5,102.271,89.7839,84.2496,100.9365,84.536,73.9949
1408.75,97.0875,73.2658,86.396,106.4744,82.394,77.831
1409,91.7487,71.8971,97.1099,113.8944,74.032,77.5418
1409.25,86.1039,71.65,87.5357,104.5503,74.302,77.56
1409.75,82.4599,77.0691,96.6236,110.8047,74.032,77.1218
1410,79.1141,81.863,92.3154,118.2469,92.378,77.4217
1410.5,76.5051,90.0052,93.551,120.7696,81.957,75.9094
1411.25,69.6797,89.159,91.5935,115.8913,92.378,78.1411
1411.75,78.8298,86.3562,94.2221,114.0848,104.005,76.0947
1413,76.7733,92.6261,91.347,108.4801,79.482,87.113
1413.5,70.8919,91.289,85.4638,112.8709,80.418,88.402
1414.25,73.328,89.9157,91.9684,106.4842,79.482,88.903
1415,63.7588,95.0351,81.6996,109.7237,82.893,84.0232
1415.25,61.5191,94.977,76.7574,111.9552,77.734,85.7454
1415.5,63.3975,93.5478,77.8054,110.8768,77.734,86.3634
1416.5,72.9882,88.4544,81.4089,111.3124,83.974,83.9976
1417.25,64.3735,84.7467,88.0147,112.4329,85.056,96.7904
1417.75,66.8968,82.1441,90.5514,113.6428,83.038,95.3599
1418,69.3256,81.6818,90.1606,117.5327,79.19,96.575
1418.25,72.5668,82.7972,90.353,114.3492,77.006,91.6176
1418.5,76.3674,84.3547,89.1183,115.8892,77.006,91.7405
1419.5,67.7668,84.6779,91.6106,108.8037,79.96,98.9831
1419.75,70.7282,84.7379,88.5285,111.3231,79.96,101.8514
1420.25,77.7319,85.7955,88.6734,109.9369,75.571,98.9244
1420.75,83.4322,89.252,91.3077,110.4249,73.595,97.4428
1421,89.281,91.4346,86.1625,111.312,82.373,95.095
1421.5,75.2582,94.4039,91.2493,112.0847,80.106,92.7418
1422.5,71.4676,96.2762,93.3743,111.6812,77.776,82.3846
1422.75,73.2383,95.6931,95.6693,114.4517,77.776,76.5833
1423,75.3717,95.2601,89.966,112.4008,81.312,72.885
1423.25,80.8941,95.0118,88.8252,116.6269,81.624,75.7929
1423.75,80.4682,91.9096,88.2653,113.1048,81.312,74.3201
1424,75.1704,90.8098,87.8064,111.4381,88.218,79.7361
1425.75,70.6344,89.6402,83.8204,106.3492,79.96,79.5161
1426,73.4216,91.0623,81.7095,105.2205,83.371,70.7804
1426.25,74.7663,92.7293,88.4823,103.9315,80.147,76.2249
1426.75,74.5237,93.8578,89.2027,104.6182,83.371,70.9892
1427,74.3762,92.6484,81.9897,99.1699,90.402,74.599
1427.5,77.8874,90.9999,82.1231,103.3085,83.517,71.4206
1428.25,74.2992,91.2533,81.4306,99.5529,90.402,74.7733
