DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-49
78.25,102.7736,82.4277,112.05,55.06491587
79.25,102.1948,76.7602,109.59,61.02117681
80,101.7674,74.1824,113.79,56.72018111
80.75,101.3331,73.1922,113.79,58.63210333
81,101.19,73.4385,113.5,58.39202915
81.75,100.7622,75.1159,113.5,57.47976175
82.5,95.7308,76.069,114.37,59.10357437
82.75,92.9916,75.8904,114.37,58.27664071
83.5,89.4198,76.7731,120.42,58.71542559
83.75,90.0627,76.7924,120.42,55.13354822
84.5,92.0605,77.823,125.3,52.59880089
84.75,92.7705,79.2938,125.3,53.69114678
85.25,94.0683,79.6874,123.06,52.42530029
85.5,94.9316,80.141,123.06,52.45339676
86.25,97.2013,77.6408,125.37,54.2392946
86.5,97.8361,75.9549,125.37,53.6944589
87,99.2131,73.2837,119.66,56.37246918
87.25,99.0033,73.3902,125.81,54.81093483
87.5,98.5494,73.8926,125.81,55.9142399
88,96.1391,74.2418,121.18,56.07146823
88.25,95.0434,74.7109,119.66,55.19576037
89,91.5275,75.2571,113.36,48.81117578
89.25,90.4309,74.3548,121.18,54.15638464
90,88.0393,75.5062,116.99,50.60418237
90.25,87.8018,75.2916,113.36,48.88407201
90.75,87.5743,72.5658,116.99,50.87446373
91,87.4683,72.6505,119.36,48.98023733
91.75,87.1284,74.9033,119.36,48.81371932
92,87.0165,75.182,119.04,54.0698314
92.75,86.6825,75.6556,119.04,51.86786364
93.5,87.0658,74.4586,120.52,54.42617079
93.75,87.7917,75.5444,120.52,55.55105853
94.5,90.6887,75.0647,122.32,54.11685353
94.75,91.4806,74.4836,122.32,55.22991787
95.5,91.845,72.7125,129.1,49.59149139
95.75,91.4516,71.6185,129.1,48.3507613
96.25,90.5887,70.9164,137.68,51.27601864
96.5,90.1894,70.4704,137.68,52.37661481
97.25,88.9279,69.1903,131.71,52.51424318
97.5,88.534,68.1793,131.71,53.01335737
98,87.6735,67.8903,141.81,51.2162638
98.25,87.2719,68.1028,141.81,54.69497048
98.5,86.8747,69.7034,141.81,50.78888104
99,86.0097,71.2197,141.15,51.9222437
99.25,85.6161,72.4275,141.81,51.28355627
100,88.9698,70.3471,140.18,57.56559808
100.25,94.2226,69.451,141.15,54.28677574
101,103.3556,71.6377,140.72,55.89228602
101.75,97.1294,73.8928,140.72,56.38808039
102,95.2272,74.6766,132.9,53.16000787
102.75,90.8664,73.1478,132.9,53.98216435
103.75,91.3236,72.1938,129.86,54.36584664
104.5,92.1374,69.4146,125.3,49.86090166
104.75,92.3621,69.3525,125.3,51.19236048
105.5,93.0348,69.21,121.61,53.9121263
105.75,93.2475,67.8763,121.61,56.98227209
106.5,93.9226,70.5746,120.31,58.379575
107.25,94.5944,75.839,113.21,58.86594293
107.5,94.8081,75.4022,113.21,57.22587296
108.25,95.4627,70.9421,102.39,57.77979763
108.5,95.6151,71.4431,102.39,56.65001752
109,95.7609,70.8761,97.29,57.86848595
109.25,95.6592,69.1454,95.12,61.02550753
110,95.5751,68.845,111.01,54.08121337
110.25,96.5427,70.6721,97.29,58.46380773
111,102.4934,66.6829,140.43,53.15554254
111.25,103.8893,66.6565,111.01,54.7339305
112,102.8855,74.4457,154.33,51.34587722
112.75,100.8633,73.8329,154.33,52.26454622
113,100.2708,73.176,163.96,52.39468605
113.75,98.9707,77.3221,163.96,53.32446397
114.75,97.0041,77.7017,171.34,53.80473129
115.5,95.5672,77.6473,175.9,55.58605304
115.75,96.2724,77.8164,175.9,57.53420248
116.5,106.9709,74.5152,172.71,57.41267669
116.75,109.0886,76.0276,172.71,57.330797
117.5,110.8256,76.9395,176.91,56.94903991
118.25,109.7174,76.9617,176.12,57.29879727
118.5,109.365,81.1637,176.12,57.33887092
119.25,108.2514,84.3709,167,54.86168477
119.5,107.9044,84.0691,167,55.90666963
120,107.1456,79.1579,131.82,54.14600086
120.25,106.7913,79.3937,145.64,52.29754603
121,105.8931,81.5505,128.99,54.90527081
121.25,106.2377,82.4192,131.82,54.41968361
122,111.1645,83.7949,124.54,57.66881156
122.25,113.2062,84.9552,128.99,55.26713535
123,114.3784,83.2992,127.91,59.08915099
123.75,112.5768,79.7347,127.91,61.21433352
124,111.8873,79.5581,128.56,54.47728303
124.75,109.9497,78.4764,128.56,56.54544973
