DEPTH,NO 6507/7-A-14,NO 6507/7-A-28,NO 6507/7-A-38,NO 6507/7-A-46
82.75,92.9916,75.8904,114.37,57.9079
83.5,89.4198,76.7731,120.42,56.2025
83.75,90.0627,76.7924,120.42,55.6069
84.5,92.0605,77.823,125.3,53.8715
84.75,92.7705,79.2938,125.3,53.5364
85.25,94.0683,79.6874,123.06,53.0117
85.5,94.9316,80.141,123.06,52.7998
86.25,97.2013,77.6408,125.37,53.2772
86.5,97.8361,75.9549,125.37,53.9453
87,99.2131,73.2837,119.66,56.9077
87.25,99.0033,73.3902,125.81,55.2387
87.5,98.5494,73.8926,125.81,55.8598
88,96.1391,74.2418,121.18,53.5865
88.25,95.0434,74.7109,119.66,55.8733
89,91.5275,75.2571,113.36,50.0322
89.25,90.4309,74.3548,121.18,52.8043
90,88.0393,75.5062,116.99,50.5833
90.25,87.8018,75.2916,113.36,49.7265
90.75,87.5743,72.5658,116.99,50.0083
91,87.4683,72.6505,119.36,49.5412
91.75,87.1284,74.9033,119.36,49.669
92,87.0165,75.182,119.04,53.5809
92.75,86.6825,75.6556,119.04,52.0442
93.5,87.0658,74.4586,120.52,54.1327
93.75,87.7917,75.5444,120.52,54.4055
94.5,90.6887,75.0647,122.32,55.1222
94.75,91.4806,74.4836,122.32,54.2821
95.5,91.845,72.7125,129.1,49.5643
95.75,91.4516,71.6185,129.1,49.5107
96.25,90.5887,70.9164,137.68,50.9298
96.5,90.1894,70.4704,137.68,51.9701
97.25,88.9279,69.1903,131.71,53.0403
97.5,88.534,68.1793,131.71,53.6163
98,87.6735,67.8903,141.81,51.4376
98.25,87.2719,68.1028,141.81,54.0484
98.5,86.8747,69.7034,141.81,53.3096
99,86.0097,71.2197,141.15,52.0558
99.25,85.6161,72.4275,141.81,51.2567
100,88.9698,70.3471,140.18,57.874
100.25,94.2226,69.451,141.15,53.6451
101,103.3556,71.6377,140.72,55.9948
101.75,97.1294,73.8928,140.72,56.6304
102,95.2272,74.6766,132.9,53.0232
102.75,90.8664,73.1478,132.9,53.8817
103.75,91.3236,72.1938,129.86,51.9312
104.5,92.1374,69.4146,125.3,50.7008
104.75,92.3621,69.3525,125.3,51.3693
105.5,93.0348,69.21,121.61,53.658
105.75,93.2475,67.8763,121.61,55.6124
106.5,93.9226,70.5746,120.31,58.959
107.25,94.5944,75.839,113.21,59.3044
107.5,94.8081,75.4022,113.21,59.106
108.25,95.4627,70.9421,102.39,57.7151
108.5,95.6151,71.4431,102.39,57.9605
109,95.7609,70.8761,97.29,57.4349
109.25,95.6592,69.1454,95.12,59.535
110,95.5751,68.845,111.01,54.7019
110.25,96.5427,70.6721,97.29,56.7258
111,102.4934,66.6829,140.43,53.4427
111.25,103.8893,66.6565,111.01,54.1819
112,102.8855,74.4457,154.33,52.3676
112.75,100.8633,73.8329,154.33,53.4004
113,100.2708,73.176,163.96,52.8107
113.75,98.9707,77.3221,163.96,52.2317
114.75,97.0041,77.7017,171.34,53.8688
115.5,95.5672,77.6473,175.9,55.8012
115.75,96.2724,77.8164,175.9,56.2001
116.5,106.9709,74.5152,172.71,56.4085
116.75,109.0886,76.0276,172.71,56.3479
117.5,110.8256,76.9395,176.91,56.0606
118.25,109.7174,76.9617,176.12,56.6976
118.5,109.365,81.1637,176.12,57.2155
119.25,108.2514,84.3709,167,56.4088
119.5,107.9044,84.0691,167,55.8253
120,107.1456,79.1579,131.82,54.7009
120.25,106.7913,79.3937,145.64,53.3423
121,105.8931,81.5505,128.99,55.7148
121.25,106.2377,82.4192,131.82,54.9768
122,111.1645,83.7949,124.54,57.9591
122.25,113.2062,84.9552,128.99,55.7698
123,114.3784,83.2992,127.91,60.6218
123.75,112.5768,79.7347,127.91,60.5592
124,111.8873,79.5581,128.56,54.044
124.75,109.9497,78.4764,128.56,56.309
125.75,107.734,75.019,122.91,52.5241
126.75,108.0836,73.5438,119.55,57.6884
127.5,105.834,77.9736,120.74,56.8616
127.75,104.684,78.3975,120.74,56.6628
128.5,102.0073,80.3117,121.18,57.2504
129.25,100.6547,82.6251,123.78,57.9983
129.5,100.2241,82.9872,123.78,58.3004
130.25,98.8648,87.614,123.95,56.6821
130.5,98.4409,88.2949,123.95,56.2209
131,99.3025,86.6642,122.62,58.5436
131.25,100.6243,85.0885,123.93,58.4329
132,106.3071,83.785,124.65,59.8315
132.25,109.6787,81.8849,122.62,58.7184
133,115.7092,74.0616,128.99,57.4599
133.25,116.8768,73.6121,124.65,59.848
134,117.3539,81.0249,124.65,53.3623
134.75,114.6252,84.9559,124.65,53.9381
135,113.4639,89.2667,127.15,52.3478
135.75,111.0225,79.3289,127.15,52.6087
136.5,110.0337,51.4501,124.22,52.7893
136.75,109.7153,55.1508,124.22,53.7184
137.5,107.9144,73.1335,126.82,56.7257
137.75,107.298,78.7567,126.82,55.9233
138.5,105.5718,87.5573,119.87,54.8214
138.75,106.2433,87.3457,119.87,53.7676
139.25,108.6914,91.3926,122.62,52.3799
140.25,112.9443,92.51,117.7,51.4924
140.5,113.9076,89.8256,117.7,50.7685
141,115.6717,89.9482,116.83,53.4621
141.25,116.5666,90.3723,120.09,49.9353
141.5,117.5078,91.9046,120.09,50.7718
142,118.8945,90.4317,118.14,56.7937
142.25,119.8916,90.6479,116.83,55.13
143,126.9813,85.3013,121.46,56.1171
143.25,130.0603,83.4384,118.14,56.6575
144,138.8643,77.1697,132.9,61.2838
144.25,141.7374,77.5256,121.46,57.151
144.75,147.6373,72.9038,132.9,59.8224
145,150.2043,74.3093,132.9,63.9142
145.75,152.4931,74.1935,132.9,63.1813
146,151.4151,78.5909,125.08,64.999
146.75,148.3817,85.4949,125.08,64.6314
147.5,145.5963,77.9299,121.61,65.559
147.75,144.7246,76.5477,121.61,66.0936
148.5,141.9387,78.2769,128.56,66.8302
148.75,141.0091,77.8718,128.56,67.2815
149.5,137.6991,79.5056,119.66,64.7195
149.75,136.8065,82.4612,119.66,63.5234
151.25,131.2202,80.8913,123.02,59.0027
151.5,130.0033,81.5618,123.02,58.5282
152,126.7601,88.8539,120.74,57.3051
152.25,124.9754,92.3099,125.08,57.1515
152.5,123.2056,94.0384,125.08,57.098
153,120.0656,94.679,126.97,56.5171
153.25,118.8658,93.7405,120.74,57.3719
154,115.031,93.1535,122.04,58.0721
154.25,113.7985,94.6079,126.97,56.3296
155,109.9964,95.9998,127.69,62.014
155.25,108.8684,97.5383,122.04,59.1064
155.75,108.4614,101.4198,127.69,61.2094
156,109.261,101.1459,120.31,62.6273
156.75,110.8546,99.6785,120.31,62.3812
157,110.137,104.4045,119.87,65.8179
157.75,106.7325,106.0944,119.87,64.916
158.5,102.8009,100.069,124.65,67.7677
158.75,101.7044,100.4399,124.65,67.9964
159.5,99.1114,93.9731,128.91,69.4893
159.75,99.2718,92.4846,128.91,70.7493
160.5,103.584,90.1211,128.3,76.1307
160.75,105.4498,86.4068,128.3,77.8827
161.5,107.9991,79.828,127.11,80.6855
162.25,108.7029,77.768,123.35,79.6649
162.5,108.9518,76.9086,123.35,78.6584
163.25,109.6489,76.8399,125.08,74.3506
163.5,110.0102,78.1948,125.08,72.9185
164,112.866,77.0111,127.9,68.0812
164.25,115.0339,76.7084,125.95,69.9074
164.5,117.0302,77.0291,125.95,69.3607
165,120.6119,80.4471,129.12,55.3228
165.25,122.0704,82.7091,127.9,66.3866
166,126.8532,87.7402,129.17,47.8598
166.25,128.6093,89.789,129.12,52.4602
167,135.2266,84.9827,131.6,45.3124
167.25,137.1878,83.7863,129.17,46.8753
168,127.869,82.7618,126.17,42.0064
168.75,123.4581,77.9557,126.17,42.7875
169,124.3775,78.4829,129.68,41.6095
169.75,127.0448,76.2087,129.68,40.9277
170,127.9021,77.8883,127.36,57.3153
170.75,130.5029,86.1593,127.36,52.2964
171.5,130.1275,84.8778,131.82,65.2342
171.75,126.7831,84.1196,131.82,67.7325
172.5,118.7031,91.7921,129.86,67.9119
172.75,118.0654,94.9196,129.86,67.3903
173.75,118.9145,94.0956,129.32,67.1619
175.25,119.5046,87.8834,129.6,68.1869
175.5,118.4563,89.673,129.6,68.3994
176.25,114.9305,92.0155,126.31,66.8888
176.5,114.0877,93.1588,126.31,67.6713
177.25,111.5756,94.9778,127.55,70.7317
177.5,110.7516,93.8051,127.55,70.1247
178,109.0738,92.392,129.54,67.4349
178.25,108.2844,92.922,132.1,66.9608
179,106.067,94.4356,131.6,70.3451
179.25,105.4007,94.8529,129.54,67.9716
180,104.921,96.2599,131.06,70.5266
180.25,106.0506,95.0804,131.6,71.2296
181,112.2267,88.7368,129.77,70.8251
181.25,114.4983,88.2845,131.06,70.2638
181.75,118.8303,84.195,129.77,69.7216
182,121.1683,83.4779,128.56,76.9554
182.75,127.3358,81.0277,128.56,76.3724
183,127.4826,80.0263,130.15,71.4999
183.75,119.3636,80.2394,130.15,73.229
184.75,113.9949,77.7744,130.46,68.6492
185.5,116.7676,89.4024,127.37,67.1399
185.75,117.7492,89.8083,127.37,66.6971
186.5,120.5213,86.6738,129.25,65.9314
186.75,121.4677,86.267,129.25,65.7696
187.5,124.275,86.5531,132.68,69.214
187.75,125.1571,87.2237,132.68,69.7
188.5,127.9672,88.2001,129.28,69.2883
189.25,130.3392,85.7236,129.69,66.7063
189.5,130.6333,86.8086,129.69,66.9669
190.25,130.4185,90.5403,135.4,68.6902
190.5,129.3278,91.3308,135.4,69.2425
191,125.7733,91.6085,137.25,69.8625
191.25,124.1432,90.471,128.99,70.1467
191.5,122.3613,89.782,128.99,70.1744
192,118.9283,90.3923,124.56,71.4506
192.25,117.3161,90.8314,137.25,69.5798
193,114.275,88.3661,128.99,74.2689
193.25,113.6771,87.9344,124.56,72.1164
194,113.0882,88.3091,132.63,74.8742
194.25,113.8812,89.073,128.99,74.235
195,118.8185,92.7062,132.03,73.8976
195.75,123.4576,92.6478,132.03,74.9534
196,124.7657,92.1104,127.69,67.8111
196.75,131.5565,91.5217,127.69,68.8107
197,134.1519,91.3233,123.01,64.1588
197.75,135.1927,88.832,123.01,65.5363
198.75,130.9072,93.3237,127.26,59.5032
199.5,129.667,97.4296,125.08,57.728
199.75,129.6523,96.0407,125.08,57.3025
200.5,128.4069,91.6502,118.86,58.445
200.75,127.8869,90.7935,118.86,58.9302
201.5,126.2757,88.1597,121.28,61.6022
201.75,125.1483,87.0521,121.28,62.3332
202.25,123.8651,86.0494,122.04,62.373
202.5,125.5382,86.295,122.04,61.6267
203.25,129.9729,95.8699,139.34,60.0126
